winner_type_1,winner_type_2,winner_fast_move,winner_charge_move_1,winner_charge_move_2,winner_fast_move_type,winner_charge_move_1_type,winner_charge_move_2_type,winner_dex,winner_attack,winner_defense,winner_stamina,winner_overall,loser_type_1,loser_type_2,loser_fast_move,loser_charge_move_1,loser_charge_move_2,loser_fast_move_type,loser_charge_move_1_type,loser_charge_move_2_type,loser_dex,loser_attack,loser_defense,loser_stamina,loser_overall
water,rock,Water Gun,Aqua Tail,Ancient Power,water,water,rock,369,105.2,137.5,147,80.8,fire,fighting,Ember,Blast Burn,Rock Slide,fire,fire,rock,500,137.9,79.9,147,68.4
water,ground,Mud Shot,Earth Power,Sludge Bomb,ground,ground,poison,537,120.3,101.5,152,70.5,grass,none,Bullet Seed,Grass Knot,Energy Ball,grass,grass,grass,830,109.1,159.7,118,66.7
grass,poison,Acid,Power Whip,Sludge Bomb,poison,grass,poison,70,137.8,84.3,139,69.0,fire,ghost,Incinerate,Torch Song,Shadow Ball,fire,fire,ghost,911,121.2,109.2,139,84.5
normal,none,Mud Shot,Stomp,Megahorn,ground,normal,bug,626,118.9,115.9,136,68.8,psychic,none,Confusion,Psyshock,Return,psychic,psychic,normal,96,87.4,126.9,142,55.2
water,none,Water Gun,Ice Punch,Crunch,water,ice,dark,159,118.8,118.8,134,70.8,water,none,Water Gun,Surf,Water Pulse,water,water,water,817,137.9,91.4,128,58.9
ghost,fire,Ember,Energy Ball,Flame Burst,fire,grass,fire,608,133.3,97.1,130,60.7,electric,none,Thunder Shock,Discharge,Last Resort,electric,electric,normal,135,138.6,113.0,103,68.8
rock,ground,Rock Throw,Rock Tomb,Rock Slide,electric,rock,rock,74,123.5,123.5,113,66.0,grass,fighting,Force Palm,Dynamic Punch,Grass Knot,fighting,fighting,grass,286,150.6,97.3,101,66.4
dark,none,Sucker Punch,Crunch,Poison Fang,dark,dark,poison,262,125.9,104.3,134,81.3,fairy,none,Fairy Wind,Play Rough,Energy Ball,fairy,fairy,grass,685,117.4,118.1,138,73.6
normal,none,Mud Shot,Stomp,Megahorn,ground,normal,bug,626,118.9,115.9,136,68.8,electric,fairy,Thunder Shock,Parabolic Charge,Play Rough,electric,electric,fairy,702,124.2,108.7,133,90.3
grass,none,Razor Leaf,Grass Knot,Energy Ball,grass,grass,grass,811,124.7,108.5,133,66.5,psychic,none,Confusion,Swift,Future Sight,psychic,normal,psychic,480,102.0,176.8,122,73.4
fire,dark,Snarl,Darkest Lariat,Blast Burn,dark,dark,fire,727,125.8,106.9,132,74.8,electric,steel,Volt Switch,Magnet Bomb,Discharge,electric,steel,electric,81,148.7,113.4,89,75.9
normal,none,Tackle,Body Slam,Trailblaze,normal,normal,grass,916,110.9,110.3,166,78.7,ice,none,Powder Snow,Avalanche,Body Slam,ice,ice,normal,974,112.6,79.8,213,81.3
bug,poison,Poison Sting,X-Scissor,Drill Run,poison,bug,ground,15,127.6,106.2,129,80.1,normal,psychic,Confusion,Brutal Swing,Trailblaze,psychic,dark,grass,765,110.9,131.2,139,81.1
ghost,fire,Incinerate,Flame Charge,Shadow Ball,fire,fire,ghost,609,151.4,106.9,91,67.4,dark,fighting,Feint Attack,Upper Hand,Foul Play,dark,fighting,dark,559,120.4,122.1,126,70.4
water,ground,Mud Slap,Body Slam,Earth Power,ground,normal,ground,423,114.4,102.5,167,91.6,electric,none,Thunder Shock,Discharge,Last Resort,electric,electric,normal,135,138.6,113.0,103,68.8
rock,none,Mud Slap,Superpower,Meteor Beam,ground,fighting,rock,526,127.2,118.4,116,69.1,fire,flying,Incinerate,Fly,Brave Bird,fire,flying,flying,663,122.1,114.7,131,85.4
water,dark,Fury Cutter,Dark Pulse,Icy Wind,bug,dark,ice,503,133.2,95.6,132,80.5,water,electric,Water Gun,Surf,Thunderbolt,water,water,electric,171,104.8,104.8,194,85.1
water,none,Water Gun,Water Pulse,Silver Wind,water,water,bug,457,109.5,137.2,136,70.9,grass,none,Razor Leaf,Grass Knot,Energy Ball,grass,grass,grass,811,124.7,108.5,133,66.5
fire,none,Ember,Overheat,Earthquake,fire,fire,ground,324,107.6,151.3,127,73.6,water,ground,Mud Shot,Earth Power,Water Pulse,ground,ground,water,536,116.6,101.6,162,72.4
poison,none,Mud Shot,Sludge,Ice Beam,ground,poison,ice,317,104.1,123.4,168,85.3,poison,none,Infestation,Body Slam,Seed Bomb,bug,normal,grass,569,121.7,114.6,132,57.1
normal,water,Rollout,Surf,Hyper Fang,rock,water,normal,400,124.2,97.7,149,77.1,normal,none,Sand Attack,Dig,Thunderbolt,ground,ground,electric,507,119.7,110.9,141,69.0
electric,none,Thunder Shock,Thunder Punch,Brick Break,electric,electric,fighting,239,126.0,97.5,120,69.1,psychic,none,Zen Headbutt,Shadow Ball,Return,psychic,ghost,normal,325,117.6,115.1,140,40.1
dark,flying,Snarl,Dark Pulse,Aerial Ace,dark,dark,flying,630,92.3,149.2,176,91.8,normal,none,Quick Attack,Swift,Dig,normal,normal,ground,133,100.0,108.4,135,59.4
ice,rock,Powder Snow,Rock Slide,Icy Wind,ice,rock,ice,713,117.0,134.7,121,76.3,grass,dragon,Astonish,Outrage,Seed Bomb,ghost,dragon,grass,842,117.2,100.8,162,67.9
water,psychic,Psywave,Surf,Power Gem,psychic,water,rock,121,132.2,121.8,104,79.7,water,ghost,Hex,Night Shade,Ice Beam,ghost,ghost,ice,592,109.2,125.2,135,78.8
fire,fighting,Fire Spin,Close Combat,Blast Burn,fire,fighting,fire,392,136.7,100.4,118,65.6,fighting,none,Counter,Dynamic Punch,Brutal Swing,fighting,fighting,dark,534,134.6,93.3,132,73.6
dark,flying,Snarl,Brave Bird,Dark Pulse,dark,flying,dark,430,150.6,68.3,145,65.0,dark,poison,Poison Jab,Aqua Tail,Shadow Ball,poison,water,ghost,904,131.6,106.6,121,80.7
ghost,none,Astonish,Night Shade,Power Gem,ghost,ghost,rock,864,146.2,111.1,94,65.8,ice,none,Powder Snow,Avalanche,Body Slam,ice,ice,normal,974,112.6,79.8,213,81.3
normal,none,Zen Headbutt,Body Slam,Disarming Voice,psychic,normal,fairy,531,92.6,138.1,189,54.2,water,none,Water Gun,Ice Punch,Crunch,water,ice,dark,159,118.8,118.8,134,70.8
ghost,none,Astonish,Night Shade,Power Gem,ghost,ghost,rock,222,99.6,162.1,139,92.3,dark,ghost,Shadow Claw,Foul Play,Power Gem,ghost,dark,rock,302,121.0,123.5,124,88.9
fairy,flying,Fairy Wind,Psyshock,Dazzling Gleam,fairy,psychic,fairy,176,110.6,150.0,122,88.0,fighting,none,Fury Cutter,Leaf Blade,Close Combat,bug,grass,fighting,865,145.9,107.4,98,83.1
fighting,dark,Sucker Punch,Brick Break,Dynamic Punch,dark,fighting,fighting,892,136.6,97.8,121,82.4,ghost,none,Lick,Psychic Fangs,Shadow Ball,ghost,psychic,ghost,972,121.0,131.2,117,74.2
electric,flying,Thunder Shock,Acrobatics,Discharge,electric,flying,electric,587,127.9,111.4,123,89.3,electric,none,Spark,Wild Charge,Crunch,electric,electric,dark,404,134.1,91.1,137,65.8
