Pokemon,Dex,Type 1,Type 2,Attack,Defense,Stamina,Stat Product,Level,CP,Fast Move,Charged Move 1,Charged Move 2
Bulbasaur,1,Grass,Poison,118,111,128,590229.8479489175,50.0,993,TACKLE,POWER_WHIP,SEED_BOMB
Bulbasaur (Shadow),1,Grass,Poison,118,111,128,590229.8479489175,50.0,993,TACKLE,POWER_WHIP,SEED_BOMB
Ivysaur,2,Grass,Poison,151,143,155,982990.6090307223,45.0,1494,RAZOR_LEAF,POWER_WHIP,SLUDGE_BOMB
Ivysaur (Shadow),2,Grass,Poison,151,143,155,982990.6090307223,45.0,1494,RAZOR_LEAF,POWER_WHIP,SLUDGE_BOMB
Venusaur,3,Grass,Poison,198,189,190,430215.68744697876,22.0,1473,RAZOR_LEAF,FRENZY_PLANT,PETAL_BLIZZARD
Venusaur (Mega),3,Grass,Poison,241,246,190,262229.62157483684,16.0,1487,RAZOR_LEAF,FRENZY_PLANT,PETAL_BLIZZARD
Venusaur (Shadow),3,Grass,Poison,198,189,190,430215.68744697876,22.0,1473,RAZOR_LEAF,FRENZY_PLANT,PETAL_BLIZZARD
Charmander,4,Fire,None,116,93,118,448155.9402922946,50.0,858,EMBER,FLAME_BURST,FLAME_CHARGE
Charmander (Shadow),4,Fire,None,116,93,118,448155.9402922946,50.0,858,EMBER,FLAME_BURST,FLAME_CHARGE
Charmeleon,5,Fire,None,158,126,151,967317.2132900385,47.5,1493,EMBER,FIRE_PUNCH,FLAME_BURST
Charmeleon (Shadow),5,Fire,None,158,126,151,967317.2132900385,47.5,1493,EMBER,FIRE_PUNCH,FLAME_BURST
Charizard,6,Fire,Flying,223,173,186,377608.7635535484,21.0,1499,AIR_SLASH,BLAST_BURN,DRAGON_CLAW
Charizard (Mega X),6,Fire,Dragon,273,213,186,207483.35951557275,15.0,1454,AIR_SLASH,BLAST_BURN,DRAGON_CLAW
Charizard (Mega Y),6,Fire,Flying,319,212,186,157115.10916653305,13.0,1469,AIR_SLASH,BLAST_BURN,DRAGON_CLAW
Charizard (Shadow),6,Fire,Flying,223,173,186,377608.7635535484,21.0,1499,AIR_SLASH,BLAST_BURN,DRAGON_CLAW
Squirtle,7,Water,None,94,121,127,508537.70309787005,50.0,822,BUBBLE,AQUA_JET,AQUA_TAIL
Squirtle (Shadow),7,Water,None,94,121,127,508537.70309787005,50.0,822,BUBBLE,AQUA_JET,AQUA_TAIL
Wartortle,8,Water,None,126,155,153,1051961.598596685,50.0,1370,BITE,AQUA_JET,HYDRO_PUMP
Wartortle (Shadow),8,Water,None,126,155,153,1051961.598596685,50.0,1370,BITE,AQUA_JET,HYDRO_PUMP
Blastoise,9,Water,None,171,207,188,556156.7913934189,24.5,1474,BITE,FLASH_CANNON,HYDRO_CANNON
Blastoise (Mega),9,Water,None,264,237,188,225651.48649234133,15.0,1491,BITE,FLASH_CANNON,HYDRO_CANNON
Blastoise (Shadow),9,Water,None,171,207,188,556156.7913934189,24.5,1474,BITE,FLASH_CANNON,HYDRO_CANNON
Caterpie,10,Bug,None,55,55,128,136314.34494163044,50.0,325,BUG_BITE,STRUGGLE,none
Caterpie (Shadow),10,Bug,None,55,55,128,136314.34494163044,50.0,325,BUG_BITE,STRUGGLE,none
Metapod,11,Bug,None,45,80,137,173631.80507544454,50.0,332,BUG_BITE,STRUGGLE,none
Metapod (Shadow),11,Bug,None,45,80,137,173631.80507544454,50.0,332,BUG_BITE,STRUGGLE,none
Butterfree,12,Bug,Flying,167,137,155,827525.4115401125,39.0,1498,BUG_BITE,BUG_BUZZ,PSYCHIC
Butterfree (Shadow),12,Bug,Flying,167,137,155,827525.4115401125,39.0,1498,BUG_BITE,BUG_BUZZ,PSYCHIC
Weedle,13,Bug,Poison,63,50,120,133075.47104322392,50.0,344,BUG_BITE,STRUGGLE,none
Weedle (Shadow),13,Bug,Poison,63,50,120,133075.47104322392,50.0,344,BUG_BITE,STRUGGLE,none
Kakuna,14,Bug,Poison,46,75,128,155465.9471235124,50.0,318,BUG_BITE,STRUGGLE,none
Kakuna (Shadow),14,Bug,Poison,46,75,128,155465.9471235124,50.0,318,BUG_BITE,STRUGGLE,none
Beedrill,15,Bug,Poison,169,130,163,799866.3845587604,38.0,1492,BUG_BITE,AERIAL_ACE,SLUDGE_BOMB
Beedrill (Mega),15,Bug,Poison,303,148,163,222624.47558922222,17.5,1469,BUG_BITE,AERIAL_ACE,SLUDGE_BOMB
Beedrill (Shadow),15,Bug,Poison,169,130,163,799866.3845587604,38.0,1492,BUG_BITE,AERIAL_ACE,SLUDGE_BOMB
Pidgey,16,Normal,Flying,85,73,120,262137.55486450935,50.0,561,QUICK_ATTACK,AERIAL_ACE,AIR_CUTTER
Pidgey (Shadow),16,Normal,Flying,85,73,120,262137.55486450935,50.0,561,QUICK_ATTACK,AERIAL_ACE,AIR_CUTTER
Pidgeotto,17,Normal,Flying,117,105,160,691992.4494247644,50.0,1070,STEEL_WING,AERIAL_ACE,AIR_CUTTER
Pidgeotto (Shadow),17,Normal,Flying,117,105,160,691992.4494247644,50.0,1070,STEEL_WING,AERIAL_ACE,AIR_CUTTER
Pidgeot,18,Normal,Flying,166,154,195,691007.44252301,29.0,1488,AIR_SLASH,AERIAL_ACE,AIR_CUTTER
Pidgeot (Mega),18,Normal,Flying,280,175,195,222436.82578362923,16.0,1476,AIR_SLASH,AERIAL_ACE,AIR_CUTTER
Pidgeot (Shadow),18,Normal,Flying,166,154,195,691007.44252301,29.0,1488,AIR_SLASH,AERIAL_ACE,AIR_CUTTER
Rattata,19,Normal,None,103,70,102,258905.72199631677,50.0,614,QUICK_ATTACK,BODY_SLAM,DIG
Rattata (Alolan),19,Dark,Normal,103,70,102,258905.72199631677,50.0,614,QUICK_ATTACK,CRUNCH,HYPER_FANG
Rattata (Alolan) (Shadow),19,Dark,Normal,103,70,102,258905.72199631677,50.0,614,QUICK_ATTACK,CRUNCH,HYPER_FANG
Rattata (Shadow),19,Normal,None,103,70,102,258905.72199631677,50.0,614,QUICK_ATTACK,BODY_SLAM,DIG
Raticate,20,Normal,None,161,139,146,907881.331973751,43.5,1496,BITE,DIG,HYPER_BEAM
Raticate (Alolan),20,Dark,Normal,135,154,181,1105192.044577325,45.0,1498,BITE,CRUNCH,HYPER_BEAM
Raticate (Alolan) (Shadow),20,Dark,Normal,135,154,181,1105192.044577325,45.0,1498,BITE,CRUNCH,HYPER_BEAM
Raticate (Shadow),20,Normal,None,161,139,146,907881.331973751,43.5,1496,BITE,DIG,HYPER_BEAM
Spearow,21,Normal,Flying,112,60,120,283894.3382255444,50.0,671,PECK,AERIAL_ACE,DRILL_PECK
Fearow,22,Normal,Flying,182,133,163,684338.4295187605,32.5,1494,PECK,AERIAL_ACE,DRILL_RUN
Ekans,23,Poison,None,110,97,111,416959.2477234474,50.0,805,ACID,GUNK_SHOT,POISON_FANG
Ekans (Shadow),23,Poison,None,110,97,111,416959.2477234474,50.0,805,ACID,GUNK_SHOT,POISON_FANG
Arbok,24,Poison,None,167,153,155,772640.5376638451,35.0,1491,ACID,DARK_PULSE,GUNK_SHOT
Arbok (Shadow),24,Poison,None,167,153,155,772640.5376638451,35.0,1491,ACID,DARK_PULSE,GUNK_SHOT
Pikachu,25,Electric,None,112,96,111,420163.6205738057,50.0,816,PRESENT,DISCHARGE,SURF
Pikachu (5th Anniversary),25,Electric,None,112,96,111,420163.6205738057,50.0,816,THUNDER_SHOCK,DISCHARGE,THUNDERBOLT
Pikachu (Flying),25,Electric,None,112,96,111,420163.6205738057,50.0,816,QUICK_ATTACK,DISCHARGE,THUNDERBOLT
Pikachu (Horizons),25,Electric,None,112,96,111,420163.6205738057,50.0,816,THUNDER_SHOCK,DISCHARGE,THUNDERBOLT
Pikachu (Kariyushi),25,Electric,None,112,96,111,420163.6205738057,50.0,816,THUNDER_SHOCK,DISCHARGE,THUNDERBOLT
Pikachu (Libre),25,Electric,None,112,96,111,420163.6205738057,50.0,816,THUNDER_SHOCK,FLYING_PRESS,PLAY_ROUGH
Pikachu (Pop Star),25,Electric,None,112,96,111,420163.6205738057,50.0,816,THUNDER_SHOCK,DRAINING_KISS,THUNDER_PUNCH
Pikachu (Rock Star),25,Electric,None,112,96,111,420163.6205738057,50.0,816,THUNDER_SHOCK,METEOR_MASH,THUNDER_PUNCH
Pikachu (Shaymin Scarf),25,Electric,None,112,96,111,420163.6205738057,50.0,816,PRESENT,DISCHARGE,SURF
Raichu,26,Electric,None,193,151,155,563580.085838294,28.0,1475,SPARK,BRICK_BREAK,THUNDER
Raichu (Alolan),26,Electric,Psychic,201,154,155,536716.0801463323,27.0,1496,SPARK,PSYCHIC,THUNDER_PUNCH
