left_pokemon_type_1,left_pokemon_type_2,left_pokemon_fast_move,left_pokemon_charge_move_1,left_pokemon_charge_move_2,left_pokemon_fast_move_type,left_pokemon_charge_move_1_type,left_pokemon_charge_move_2_type,left_pokemon_dex,left_pokemon_attack,left_pokemon_defense,left_pokemon_stamina,left_pokemon_overall,right_pokemon_type_1,right_pokemon_type_2,right_pokemon_fast_move,right_pokemon_charge_move_1,right_pokemon_charge_move_2,right_pokemon_fast_move_type,right_pokemon_charge_move_1_type,right_pokemon_charge_move_2_type,right_pokemon_dex,right_pokemon_attack,right_pokemon_defense,right_pokemon_stamina,right_pokemon_overall,winner
4.0,13.0,137.0,32.0,183.0,4,3,4,695,137.1,112.0,105,76.4,6.0,0.0,16.0,81.0,38.0,6,6,2,534,134.6,93.3,132,73.6,0
18.0,0.0,93.0,13.0,122.0,11,18,13,118,116.0,105.0,120,57.1,7.0,0.0,77.0,52.0,97.0,7,2,7,909,106.7,93.3,152,64.5,1
13.0,0.0,129.0,218.0,137.0,2,16,12,327,110.1,110.1,142,81.7,15.0,0.0,104.0,230.0,58.0,15,9,5,64,163.7,90.1,92,39.6,1
16.0,10.0,1.0,218.0,111.0,14,16,10,346,106.3,139.0,143,89.7,4.0,10.0,134.0,293.0,262.0,4,4,13,101,123.3,130.1,113,84.3,1
7.0,0.0,81.0,92.0,34.0,6,7,6,240,139.5,95.8,120,72.9,1.0,7.0,25.0,95.0,41.0,7,7,1,636,131.7,99.2,130,66.7,1
13.0,0.0,93.0,26.0,276.0,11,13,10,820,107.5,110.7,175,80.6,3.0,6.0,23.0,45.0,71.0,3,3,3,784,123.7,138.4,105,83.0,1
13.0,0.0,84.0,26.0,192.0,9,13,10,108,98.3,126.9,183,86.8,2.0,17.0,123.0,55.0,296.0,2,2,1,625,139.2,111.5,103,68.8,0
7.0,0.0,25.0,95.0,60.0,7,7,11,156,127.1,109.1,127,67.7,2.0,6.0,29.0,282.0,104.0,2,6,2,559,120.4,122.1,126,70.4,1
2.0,17.0,36.0,172.0,296.0,1,2,1,624,132.0,107.8,118,80.5,2.0,13.0,106.0,52.0,213.0,13,2,13,20,107.5,130.7,148,78.8,1
5.0,0.0,136.0,58.0,200.0,10,5,15,669,103.4,113.4,119,53.0,6.0,0.0,36.0,143.0,47.0,1,10,6,865,145.9,107.4,98,83.1,1
15.0,0.0,16.0,204.0,273.0,6,15,4,386,101.0,221.5,98,75.5,9.0,2.0,129.0,218.0,230.0,2,16,9,442,121.2,146.4,104,85.0,1
12.0,0.0,86.0,24.0,267.0,13,12,4,378,103.7,180.2,115,78.7,18.0,12.0,75.0,137.0,79.0,12,12,11,87,102.9,133.8,158,83.8,0
10.0,12.0,102.0,137.0,86.0,12,12,10,460,117.9,111.4,143,80.7,1.0,2.0,129.0,296.0,276.0,2,1,10,920,132.9,104.1,121,80.5,0
4.0,0.0,129.0,297.0,183.0,2,4,4,939,115.1,107.7,156,88.7,16.0,17.0,112.0,253.0,43.0,16,16,11,805,119.4,169.8,92,68.3,0
10.0,0.0,136.0,143.0,34.0,10,10,6,673,119.2,95.0,165,82.2,10.0,14.0,1.0,143.0,245.0,14,10,14,71,135.8,94.8,128,86.7,1
18.0,0.0,139.0,133.0,52.0,18,12,2,159,118.8,118.8,134,70.8,15.0,0.0,13.0,205.0,58.0,4,15,5,517,105.9,89.9,166,46.6,0
7.0,9.0,31.0,28.0,232.0,7,11,9,105,110.8,145.0,126,87.3,7.0,6.0,31.0,47.0,21.0,7,6,7,392,136.7,100.4,118,65.6,1
7.0,17.0,31.0,151.0,253.0,7,7,16,485,131.9,116.4,110,75.7,13.0,0.0,29.0,172.0,191.0,2,2,16,53,118.9,115.9,136,61.3,1
