iter	Logloss
0	0.6777840756
1	0.6679730541
2	0.6581649045
3	0.6503629019
4	0.6419465015
5	0.6360152524
6	0.6298743596
7	0.6244214845
8	0.6187992226
9	0.6142096147
10	0.6097482095
11	0.6053957922
12	0.6019781796
13	0.598017603
14	0.5948993626
15	0.592683059
16	0.5893754071
17	0.5851768403
18	0.5821171898
19	0.5788442795
20	0.5762613941
21	0.5724710023
22	0.5707352589
23	0.5690940715
24	0.5663739635
25	0.5649009244
26	0.5630409234
27	0.5613136159
28	0.5590004561
29	0.5570421788
30	0.5556448231
31	0.5548926401
32	0.5535858039
33	0.5525874112
34	0.5514434705
35	0.5499830279
36	0.5488618588
37	0.5478753177
38	0.5466270187
39	0.5457017149
40	0.5443084888
41	0.5433834778
42	0.5421903881
43	0.5405006132
44	0.5396349304
45	0.5386991031
46	0.5380343766
47	0.5371229583
48	0.5355743569
49	0.5343527506
50	0.5330998911
51	0.5321003735
52	0.5314293736
53	0.5308952592
54	0.5301498094
55	0.5294079715
56	0.5286687223
57	0.527785533
58	0.5269261906
59	0.5263067516
60	0.5252889445
61	0.5244912968
62	0.5237615171
63	0.5228970283
64	0.5214115291
65	0.5207140075
66	0.5203695978
67	0.5194141972
68	0.5187576047
69	0.5174516952
70	0.5166672002
71	0.5161303874
72	0.5153569729
73	0.5148935906
74	0.5144921429
75	0.5139521957
76	0.5134368308
77	0.5129019924
78	0.5121526796
79	0.5111980691
80	0.5105310751
81	0.5099549699
82	0.5094018491
83	0.5087802379
84	0.5079646448
85	0.5073368779
86	0.5067850197
87	0.5059455539
88	0.5053407745
89	0.5047671244
90	0.5041355706
91	0.5035644507
92	0.5031603519
93	0.5026759839
94	0.5022788541
95	0.5015994276
96	0.5010352229
97	0.5004437476
98	0.4998941833
99	0.4994655329
100	0.4988805628
101	0.4982180944
102	0.4977553652
103	0.4973229963
104	0.4969707114
105	0.4964218029
106	0.4958627496
107	0.4954568124
108	0.494791775
109	0.4943437021
110	0.494016934
111	0.4935426228
112	0.4928573009
113	0.4922265555
114	0.4917602182
115	0.4913575448
116	0.4908624953
117	0.4905795084
118	0.4900819921
119	0.4894442275
120	0.4890800244
121	0.4885466348
122	0.4880559484
123	0.4874247
124	0.4868805937
125	0.486294655
126	0.4858674449
127	0.485401475
128	0.4850546505
129	0.4845537617
130	0.4842871358
131	0.4839177849
132	0.483445719
133	0.4830292284
134	0.4822905792
135	0.4819092247
136	0.4816191324
137	0.4812979266
138	0.4808628223
139	0.4804997869
140	0.4801179143
141	0.479576277
142	0.4792177168
143	0.4789563441
144	0.4784949448
145	0.4780445465
146	0.4777037334
147	0.4774504464
148	0.4770810519
149	0.4768586898
150	0.4765287402
151	0.4762064337
152	0.4756335168
153	0.4752561556
154	0.4749259195
155	0.4746461942
156	0.4742563243
157	0.4739648825
158	0.4737718937
159	0.4734438195
160	0.4729412577
161	0.472543988
162	0.4723224751
163	0.4720079177
164	0.471700335
165	0.4713508381
166	0.4710022535
167	0.4704966207
168	0.4701504343
169	0.4698049174
170	0.4694543687
171	0.4691044093
172	0.4687811212
173	0.4686171201
174	0.468271649
175	0.4678099022
176	0.4676294925
177	0.4672884407
178	0.4668494099
179	0.4666151696
180	0.4663808183
181	0.4661185007
182	0.4658088326
183	0.4655371111
184	0.4652167544
185	0.4650562958
186	0.464689665
187	0.4643658602
188	0.4639026137
189	0.4634079267
190	0.4632196033
191	0.4629532627
192	0.4626542064
193	0.462314097
194	0.4618562004
195	0.4614537388
196	0.4612483127
197	0.4608227808
198	0.4604955169
199	0.460196314
200	0.4598506317
201	0.459471384
202	0.4592710983
203	0.4588197935
204	0.4585368397
205	0.458188803
206	0.4580069074
207	0.457817871
208	0.4573802434
209	0.4568996228
210	0.4563986328
211	0.4561195141
212	0.4559409736
213	0.4558050589
214	0.4555859885
215	0.4552555195
216	0.4550768936
217	0.4548891317
218	0.4546419002
219	0.4543690164
220	0.4540188028
221	0.453597538
222	0.4532126641
223	0.4529123799
224	0.452565905
225	0.4523633353
226	0.4521685726
227	0.4518984524
228	0.4517573946
229	0.4514770762
230	0.4513070657
231	0.4510354051
232	0.4507071213
233	0.4503919036
234	0.4501454872
235	0.4498698711
236	0.449339699
237	0.4489476989
238	0.4487282971
239	0.4485492123
240	0.4482551231
241	0.4479633802
242	0.4475502375
243	0.4472133311
244	0.4469349796
245	0.4467930426
246	0.4464588086
247	0.4461682959
248	0.4458308209
249	0.4456764225
250	0.4453868422
251	0.4451913596
252	0.4450284611
253	0.4445282664
254	0.444190621
255	0.4439305014
256	0.443777996
257	0.4436395258
258	0.4433437633
259	0.4430822576
260	0.4427631778
261	0.442384139
262	0.4422285585
263	0.4420806525
264	0.4417990977
265	0.4414771837
266	0.4411210938
267	0.440701087
268	0.4405262635
269	0.4403884256
270	0.4401260383
271	0.4398718781
272	0.4396082523
273	0.4394157052
274	0.4390790527
275	0.4386172401
276	0.4383674721
277	0.4382134902
278	0.4378713425
279	0.4377221336
280	0.4374511292
281	0.4372162471
282	0.4370085887
283	0.4367756803
284	0.4365506025
285	0.43626961
286	0.4360853081
287	0.4358968777
288	0.4357378145
289	0.4355026686
290	0.4353007002
291	0.4350902508
292	0.4348804354
293	0.4346471291
294	0.4343587276
295	0.4339729063
296	0.4336142918
297	0.433346048
298	0.4331378108
299	0.4328950107
