iter	Passed	Remaining
0	94	28217
1	119	17739
2	149	14788
3	178	13185
4	204	12070
5	229	11250
6	255	10686
7	283	10363
8	311	10068
9	338	9807
10	360	9472
11	387	9293
12	411	9088
13	437	8932
14	463	8806
15	487	8648
16	510	8501
17	533	8363
18	563	8326
19	588	8241
20	613	8151
21	635	8035
22	664	7998
23	690	7945
24	716	7881
25	740	7800
26	766	7745
27	791	7684
28	812	7593
29	842	7581
30	871	7566
31	903	7567
32	930	7530
33	955	7472
34	978	7407
35	999	7328
36	1025	7292
37	1055	7279
38	1082	7244
39	1108	7202
40	1129	7132
41	1154	7094
42	1178	7044
43	1204	7006
44	1232	6982
45	1257	6944
46	1283	6908
47	1307	6863
48	1331	6822
49	1357	6789
50	1382	6752
51	1405	6704
52	1430	6665
53	1453	6620
54	1476	6577
55	1505	6560
56	1531	6528
57	1558	6501
58	1583	6468
59	1608	6435
60	1634	6402
61	1657	6364
62	1682	6330
63	1706	6292
64	1728	6247
65	1754	6220
66	1777	6183
67	1802	6148
68	1829	6125
69	1855	6096
70	1884	6078
71	1911	6052
72	1931	6007
73	1956	5976
74	1980	5940
75	2004	5909
76	2031	5883
77	2058	5859
78	2085	5833
79	2112	5809
80	2137	5780
81	2161	5745
82	2186	5717
83	2216	5700
84	2243	5674
85	2267	5643
86	2289	5604
87	2315	5577
88	2339	5545
89	2365	5518
90	2389	5488
91	2413	5456
92	2439	5429
93	2464	5401
94	2487	5368
95	2512	5339
96	2540	5316
97	2563	5283
98	2585	5249
99	2607	5214
100	2631	5185
101	2658	5159
102	2683	5133
103	2706	5101
104	2730	5071
105	2753	5039
106	2778	5011
107	2803	4983
108	2825	4951
109	2849	4921
110	2871	4888
111	2896	4862
112	2921	4834
113	2945	4806
114	2971	4780
115	2998	4755
116	3022	4728
117	3050	4704
118	3077	4681
119	3103	4655
120	3128	4627
121	3151	4598
122	3176	4570
123	3201	4544
124	3228	4519
125	3254	4494
126	3278	4466
127	3302	4437
128	3326	4409
129	3347	4377
130	3370	4348
131	3393	4319
132	3418	4291
133	3439	4261
134	3468	4239
135	3491	4210
136	3515	4182
137	3543	4159
138	3567	4132
139	3591	4104
140	3614	4076
141	3636	4045
142	3661	4020
143	3690	3998
144	3715	3972
145	3739	3944
146	3765	3918
147	3793	3895
148	3819	3871
149	3843	3843
150	3869	3817
151	3894	3792
152	3923	3769
153	3949	3744
154	3975	3719
155	4004	3696
156	4032	3673
157	4057	3646
158	4080	3618
159	4104	3591
160	4132	3567
161	4155	3539
162	4181	3514
163	4208	3489
164	4233	3463
165	4258	3437
166	4285	3412
167	4311	3387
168	4333	3359
169	4359	3333
170	4384	3307
171	4406	3279
172	4430	3252
173	4452	3224
174	4477	3198
175	4504	3173
176	4527	3146
177	4554	3121
178	4583	3098
179	4608	3072
180	4631	3044
181	4655	3018
182	4678	2991
183	4702	2964
184	4729	2939
185	4752	2913
186	4775	2885
187	4799	2858
188	4822	2832
189	4844	2804
190	4870	2779
191	4894	2752
192	4917	2726
193	4941	2700
194	4965	2673
195	4989	2647
196	5012	2620
197	5034	2593
198	5061	2568
199	5086	2543
200	5109	2516
201	5130	2489
202	5155	2463
203	5182	2438
204	5208	2413
205	5233	2387
206	5257	2361
207	5280	2335
208	5304	2309
209	5328	2283
210	5353	2258
211	5376	2231
212	5399	2205
213	5425	2180
214	5451	2155
215	5475	2129
216	5501	2104
217	5524	2078
218	5550	2052
219	5574	2027
220	5600	2001
221	5627	1977
222	5653	1952
223	5675	1925
224	5701	1900
225	5725	1874
226	5752	1849
227	5780	1825
228	5803	1799
229	5830	1774
230	5854	1748
231	5877	1722
232	5903	1697
233	5928	1672
234	5951	1646
235	5977	1620
236	6003	1595
237	6028	1570
238	6056	1545
239	6084	1521
240	6110	1495
241	6136	1470
242	6159	1444
243	6185	1419
244	6209	1393
245	6232	1368
246	6256	1342
247	6283	1317
248	6305	1291
249	6331	1266
250	6358	1241
251	6385	1216
252	6412	1191
253	6436	1165
254	6461	1140
255	6486	1114
256	6511	1089
257	6536	1064
258	6558	1038
259	6582	1012
260	6606	987
261	6633	962
262	6655	936
263	6681	911
264	6707	885
265	6733	860
266	6759	835
267	6780	809
268	6805	784
269	6828	758
270	6852	733
271	6874	707
272	6898	682
273	6921	656
274	6944	631
275	6970	606
276	6996	580
277	7024	555
278	7048	530
279	7077	505
280	7102	480
281	7127	454
282	7152	429
283	7176	404
284	7199	378
285	7224	353
286	7248	328
287	7272	303
288	7293	277
289	7319	252
290	7348	227
291	7371	201
292	7395	176
293	7419	151
294	7443	126
295	7471	100
296	7497	75
297	7525	50
298	7554	25
299	7581	0
