Pokemon,Score,Dex,Type 1,Type 2,Attack,Defense,Stamina,Stat Product,Level,CP,Fast Move,Charged Move 1,Charged Move 2,Charged Move 1 Count,Charged Move 2 Count,Buddy Distance,Charged Move Cost
Clodsire,94.4,980,poison,ground,94.2,119.4,209,2352152,29,1490,Poison Sting,Sludge Bomb,Earthquake,6,8,3,50000
Diggersby,93.6,660,normal,ground,96.3,141.2,171,2324733,48,1496,Quick Attack,Fire Punch,Scorching Sands,5,7,1,10000
Forretress,93.6,205,bug,steel,110.2,141.6,130,2028758,25,1496,Bug Bite,Sand Tomb,Rock Tomb,14,17,5,75000
Lapras,92.9,131,water,ice,104.7,114,179,2135530,21.5,1497,Psywave,Sparkling Aria,Ice Beam,12,14,5,75000
Jellicent,92.7,593,water,ghost,106.7,124.3,157,2082451,24,1490,Hex,Surf,Shadow Ball,4,5,3,50000
Corsola (Galarian),92.4,222,ghost,none,99.6,162.1,139,2243153,46.5,1494,Astonish,Night Shade,Power Gem,5,5,3,50000
Dusclops,92.4,356,ghost,none,103.1,198.9,106,2173343,43,1498,Hex,Ice Punch,Shadow Punch,4,3,3,50000
Gligar (Shadow),92.4,207,ground,flying,108,146.2,130,2052969,30.5,1493,Fury Cutter,Aerial Ace,Dig,10,13,5,75000
Samurott,92.3,503,water,none,129,102.2,132,1740020,20,1498,Fury Cutter,Hydro Cannon,Megahorn,10,14,3,10000
Gligar,92.2,207,ground,flying,108,146.2,130,2052969,30.5,1493,Fury Cutter,Aerial Ace,Dig,10,13,5,75000
Clodsire,92.1,980,poison,ground,94.2,119.4,209,2352152,29,1490,Poison Sting,Earthquake,Stone Edge,8,7,3,50000
Jumpluff (Shadow),92,189,grass,flying,97,153.5,155,2308399,41,1500,Fairy Wind,Aerial Ace,Acrobatics,5,7,3,50000
Feraligatr,91.8,160,water,none,123.3,118,124,1803586,19.5,1493,Shadow Claw,Hydro Cannon,Ice Beam,5,7,3,10000
Dusknoir (Shadow),91.7,477,ghost,none,119.8,172.9,90,1864291,23.5,1499,Astonish,Dynamic Punch,Shadow Punch,5,4,3,50000
Golisopod,91.7,768,bug,water,125.2,133.6,107,1788916,17.5,1498,Fury Cutter,X-Scissor,Aqua Jet,10,10,1,10000
Mandibuzz,91.7,630,dark,flying,92.3,149.2,176,2424943,27,1497,Snarl,Dark Pulse,Aerial Ace,4,4,5,75000
Corviknight,91.6,823,flying,steel,107.6,128.1,151,2082389,23,1498,Sand Attack,Sky Attack,Iron Head,14,13,1,10000
Gastrodon,91.6,423,water,ground,114.4,102.5,167,1957876,24.5,1497,Mud Slap,Body Slam,Earth Power,4,6,3,50000
Sableye (Shadow),91.6,302,dark,ghost,121,123.5,124,1853355,45.5,1499,Shadow Claw,Foul Play,Power Gem,5,7,5,75000
Steelix,91.5,208,steel,ground,98.4,185.2,124,2260578,23.5,1493,Thunder Fang,Psychic Fangs,Breaking Swipe,6,6,5,75000
