pokemon_winner,pokemon_loser,left_pokemon_type_1,left_pokemon_type_2,left_pokemon_fast_move,left_pokemon_charge_move_1,left_pokemon_charge_move_2,left_pokemon_fast_move_type,left_pokemon_charge_move_1_type,left_pokemon_charge_move_2_type,left_pokemon_dex,left_pokemon_attack,left_pokemon_defense,left_pokemon_stamina,left_pokemon_overall,right_pokemon_type_1,right_pokemon_type_2,right_pokemon_fast_move,right_pokemon_charge_move_1,right_pokemon_charge_move_2,right_pokemon_fast_move_type,right_pokemon_charge_move_1_type,right_pokemon_charge_move_2_type,right_pokemon_dex,right_pokemon_attack,right_pokemon_defense,right_pokemon_stamina,right_pokemon_overall,winner
Mr. Rime,Ponyta,12,15,15,137,200,15,12,15,866,129.0,114.1,118,60.4,7,0,25,95,251,7,7,13,77,134.8,109.4,113,71.1,0
Aipom,Nosepass,13,0,4,262,4,9,13,8,190,126.1,105.2,134,73.6,16,0,112,216,215,16,16,16,299,81.5,193.3,98,56.3,1
Corsola (Galarian),Meowstic (Female),9,0,4,171,191,9,9,16,222,99.6,162.1,139,92.3,15,0,15,230,200,15,9,15,678,117.6,124.5,130,58.6,1
Electrode,Togedemaru,4,0,137,62,128,4,4,13,101,123.1,127.2,116,70.6,4,17,134,89,293,4,1,4,777,132.1,105.6,121,89.8,0
Florges,Simipour,5,0,28,164,276,5,5,10,671,120.1,142.1,109,83.4,18,0,139,260,52,18,18,2,516,136.6,94.5,126,61.7,1
Urshifu (Single Strike),Audino,6,2,129,34,81,2,6,6,892,136.6,97.8,121,82.4,13,0,147,26,61,15,13,5,531,92.6,138.1,189,54.2,1
Mothim,Vanillish,1,8,8,4,41,1,8,1,414,140.0,83.0,137,65.6,12,0,4,137,238,9,12,1,583,124.1,119.3,122,69.9,1
Druddigon,Glaceon,3,0,23,71,172,3,3,2,621,131.4,110.5,117,76.5,12,0,75,19,137,12,12,12,471,137.2,124.1,96,63.0,1
Beheeyem,Unown,15,0,15,216,55,15,16,2,606,134.4,105.7,116,55.2,15,0,65,255,0,15,13,0,201,126.9,89.1,125,38.1,1
Ursaring,Eelektrik,13,0,119,262,47,9,13,6,217,140.3,89.1,128,82.3,4,0,1,62,52,14,4,2,603,123.2,110.9,133,71.7,1
Wugtrio,Corvisquire,18,0,95,146,260,11,18,18,961,151.8,107.2,90,61.0,8,0,116,242,184,11,8,2,822,119.1,104.1,152,70.0,0
Klefki,Mothim,17,5,4,104,187,9,2,5,707,119.0,134.2,118,83.7,1,8,8,4,41,1,8,1,414,140.0,83.0,137,65.6,1
Flareon,Pachirisu,7,0,25,258,97,7,6,7,136,141.7,110.0,100,68.8,4,0,137,270,273,4,4,4,417,91.6,157.1,142,85.2,0
Brionne,Medicham,18,0,14,11,61,5,18,5,729,124.8,115.4,123,63.5,6,15,104,133,81,15,12,6,308,106.9,139.5,141,85.6,1
Steelix,Magmar,17,11,133,201,32,4,15,3,208,98.4,185.2,124,91.4,7,0,81,92,226,6,7,11,126,136.6,107.5,112,77.0,0
Gliscor,Grimer,11,8,36,84,4,1,11,8,472,115.7,143.9,116,85.7,14,0,97,244,166,14,14,11,88,121.5,88.0,171,78.8,1
Bewear,Magnemite,13,6,119,258,251,9,6,13,760,130.4,85.6,154,78.6,4,17,137,153,62,4,17,4,81,148.7,113.4,89,75.9,0
Haxorus,Sunflora,3,0,23,32,260,3,3,18,612,151.1,95.7,102,73.8,10,0,11,245,144,10,14,10,192,128.7,102.2,131,60.3,1
Linoone,Gliscor,13,0,119,262,111,9,13,10,264,114.6,112.2,152,86.0,11,8,36,84,4,1,11,8,472,115.7,143.9,116,85.7,0
Manectric,Exeggutor,4,0,133,201,293,4,15,4,310,142.5,91.3,120,73.0,10,15,11,227,200,10,10,15,103,136.7,93.7,128,56.2,0
Cofagrigus,Oricorio (Pa'u),9,0,119,230,55,9,9,2,563,112.2,168.3,106,81.4,15,8,3,7,4,8,8,8,741,130.9,101.4,128,61.2,1
Volbeat,Nuzleaf,1,0,130,41,273,13,1,4,313,111.1,136.8,132,55.0,10,2,29,143,104,2,10,2,274,125.2,78.1,157,65.2,1
Moltres,Pumpkaboo (Large),7,8,31,242,9,7,8,16,146,136.3,102.6,117,68.6,9,10,4,111,104,9,10,2,710,113.4,115.1,133,78.7,1
Jolteon,Chesnaught,4,0,134,62,141,4,4,13,135,138.6,113.0,103,68.8,10,6,136,105,258,10,10,6,652,119.9,124.6,125,82.4,1
Dewott,Flaaffy,18,0,36,13,296,1,18,1,502,123.8,99.4,147,86.1,4,0,13,276,62,4,10,4,180,121.9,99.8,151,59.2,1
Onix,Quaxwell,16,11,112,32,253,16,3,16,95,84.0,207.6,105,64.8,18,0,139,11,4,18,18,8,913,124.7,103.1,139,70.9,1
Slowbro (Galarian),Lickitung,14,15,97,224,38,14,18,2,80,119.1,108.4,145,74.7,13,0,84,26,192,9,13,10,108,98.3,126.9,183,86.8,0
Victini,Buzzwole,15,7,106,283,200,13,7,15,494,120.5,119.4,129,73.4,1,6,16,258,148,6,6,1,794,129.3,112.7,119,71.0,0
Noctowl,Drilbur,13,8,143,242,171,8,8,9,164,105.3,120.2,167,76.8,11,0,95,79,218,11,11,16,529,139.5,81.9,141,74.9,1
Whiscash,Roggenrola,18,11,93,166,224,11,11,18,340,107.6,107.6,178,86.4,16,0,121,253,215,16,16,16,524,114.3,105.0,135,55.0,1
Flygon,Oricorio (Pa'u),11,3,23,226,71,3,11,3,330,129.2,109.6,123,79.0,15,8,3,7,4,8,8,8,741,130.9,101.4,128,61.2,1
Wigglytuff,Aurorus,13,5,14,137,262,5,12,13,40,115.8,75.5,220,85.7,16,12,102,289,156,12,12,16,699,114.1,105.7,163,87.9,1
Palpitoad,Milotic,18,11,93,82,285,11,11,18,536,116.6,101.6,162,72.4,18,0,23,260,295,3,18,13,350,113.2,132.2,132,72.9,0
Bronzong,Raboot,17,15,92,205,184,17,15,2,437,111.3,151.8,119,86.7,7,0,31,95,97,7,7,7,814,130.0,102.1,130,67.0,0
Landorus (Incarnate),Mr. Mime,11,8,93,82,216,11,11,16,645,139.9,100.5,114,70.2,15,5,105,230,200,15,9,15,122,132.2,145.7,88,66.6,0
Toxicroak,Jirachi,14,6,99,81,230,14,6,9,454,136.6,91.5,131,83.9,17,15,15,64,58,15,17,5,385,120.5,119.4,129,74.7,0
