feature,importance
left_pokemon_type_1,0.08686199285751701
right_pokemon_type_1,0.07927373565585219
right_pokemon_fast_move,0.07420110096937522
left_pokemon_fast_move,0.07400824443307531
right_pokemon_fast_move_type,0.06623569205423196
left_pokemon_fast_move_type,0.06590612187796306
stamina_ratio,0.062117372873592654
defense_ratio,0.054651586697639636
left_pokemon_type_2,0.053282444433927774
right_pokemon_type_2,0.05295818595008898
left_pokemon_charge_move_1,0.04819882397032794
right_pokemon_charge_move_1,0.04499001457903724
left_pokemon_charge_move_2,0.0441241394633238
right_pokemon_charge_move_1_type,0.03894408983817705
left_pokemon_charge_move_1_type,0.03696288680911012
right_pokemon_charge_move_2,0.03338673940636185
attack_ratio,0.03145147269194578
right_pokemon_charge_move_2_type,0.028371352658468945
left_pokemon_charge_move_2_type,0.024074002779983457
