Pokemon,WinTypes,LoseTypes,WinFastMoves,LoseFastMoves,WinChargedMoves,LoseChargedMoves
Diggersby,"['Poison', 'Ground', 'Grass', 'Water', 'Flying']","['Grass', 'Poison', 'Normal', 'Grass']","{'Poison Sting': 2, 'Fury Cutter': 1, 'Wing Attack': 1}","{'Acid': 3, 'Tackle': 3}","{'Earthquake': 2, 'Stone Edge': 2, 'Frenzy Plant*': 1, 'Breaking Swipe': 1, 'Weather Ball (Water)': 1, 'Hurricane': 1}","{'Leaf Blade': 3, 'Sludge Bomb': 3, 'Wild Charge': 3, 'Trailblaze': 3}"
Clodsire,"['Ice', 'Grass']","['Normal', 'Ground', 'Bug', 'Flying', 'Poison', 'Dark', 'Grass', 'Flying', 'Psychic']","{'Tackle': 1, 'Fire Spin': 4, 'Bullet Seed': 2}","{'Quick Attack': 2, 'Infestation': 3, 'Poison Jab': 3, 'Leafage': 4, 'Confusion': 4}","{'Icy Wind': 1, 'Crunch': 4, 'Flamethrower': 4, 'Grass Knot': 2, 'Energy Ball': 2}","{'Fire Punch': 2, 'Scorching Sands': 2, 'Air Cutter': 3, 'Silver Wind': 3, 'Crunch': 3, 'Trailblaze': 3, 'Brave Bird': 4, 'Seed Bomb': 4, 'Rock Slide': 4, 'Dark Pulse': 4}"
Forretress,"['Water', 'Ice']","['Electric', 'Fire']",{'Psywave': 2},"{'Sucker Punch': 2, 'Ember': 1}","{'Sparkling Aria': 2, 'Ice Beam*': 2}","{'Zap Cannon': 2, 'Parabolic Charge': 2, 'Flame Charge': 1, 'Crunch': 1}"
Lapras,"[]","['Bug', 'Steel']","{'Thunder Shock': 4, 'Force Palm': 4}",{'Bug Bite': 2},"{'Double Iron Bash*': 4, 'Superpower': 4, 'Brick Break': 4, 'Brutal Swing': 4}","{'Sand Tomb': 2, 'Rock Tomb': 2}"
Corsola (Galarian),"['Water', 'Ghost']","['Water', 'Ground']",{'Hex': 2},{'Mud Shot': 3},"{'Surf': 2, 'Shadow Ball': 2}","{'Mud Bomb': 3, 'Surf': 3}"
Jellicent,"['Normal', 'Water', 'Rock']","['Ghost', 'Ground', 'Steel']","{'Quick Attack': 2, 'Water Gun': 3}","{'Astonish': 2, 'Mud Shot': 2}","{'Swift': 2, 'Dig': 2, 'Surf': 3, 'Ancient Power': 3}","{'Night Shade': 2, 'Power Gem': 2, 'Rock Slide': 2, 'Earthquake': 2}"
Dusclops,"['Water', 'Water', 'Flying']","['Fire', 'Fighting']","{'Fury Cutter': 3, 'Dragon Breath': 3}","{'Fire Fang': 1, 'Counter': 3}","{'Hydro Cannon*': 3, 'Megahorn': 3, 'Aqua Tail*': 3, 'Crunch': 3}","{'Flame Charge': 1, 'Scorching Sands': 1, 'Close Combat': 3, 'Triple Axel': 3}"
Samurott,"['Electric', 'Water', 'Psychic', 'Water', 'Fairy']",['Ghost'],"{'Thunder Shock': 4, 'Confusion': 3, 'Charm': 3}",{'Hex': 3},"{'Thunderbolt': 4, 'Hydro Pump': 4, 'Swift': 3, 'Future Sight': 3, 'Disarming Voice': 3, 'Hydro Cannon*': 3}","{'Ice Punch': 3, 'Shadow Punch': 3}"
Gligar,"['Poison', 'Ground', 'Bug', 'Dark', 'Grass']","['Rock', 'Water']","{'Poison Sting': 3, 'Sucker Punch': 2, 'Vine Whip': 2}",{'Fury Cutter*': 3},"{'Earthquake': 3, 'Stone Edge': 3, 'X-Scissor': 2, 'Trailblaze': 2, 'Grass Knot': 2, 'Wrap': 2}","{'Stone Edge': 3, 'Ancient Power': 3}"
Clodsire,[],"['Ground', 'Flying']",{},{'Fury Cutter': 3},{},"{'Aerial Ace': 3, 'Dig': 3}"
