left_pokemon_type_1,left_pokemon_type_2,left_pokemon_fast_move,left_pokemon_charge_move_1,left_pokemon_charge_move_2,left_pokemon_fast_move_type,left_pokemon_charge_move_1_type,left_pokemon_charge_move_2_type,left_pokemon_dex,left_pokemon_attack,left_pokemon_defense,left_pokemon_stamina,left_pokemon_overall,right_pokemon_type_1,right_pokemon_type_2,right_pokemon_fast_move,right_pokemon_charge_move_1,right_pokemon_charge_move_2,right_pokemon_fast_move_type,right_pokemon_charge_move_1_type,right_pokemon_charge_move_2_type,right_pokemon_dex,right_pokemon_attack,right_pokemon_defense,right_pokemon_stamina,right_pokemon_overall,winner
electric,normal,Volt Switch,Breaking Swipe,Parabolic Charge,electric,dragon,electric,695,137.1,112.0,105,76.4,fighting,none,Counter,Dynamic Punch,Brutal Swing,fighting,fighting,dark,534,134.6,93.3,132,73.6,0
water,none,Mud Shot,Aqua Tail,Horn Attack,ground,water,normal,118,116.0,105.0,120,57.1,fire,none,Incinerate,Crunch,Flamethrower,fire,dark,fire,909,106.7,93.3,152,64.5,1
normal,none,Sucker Punch,Rock Tomb,Icy Wind,dark,rock,ice,327,110.1,110.1,142,81.7,psychic,none,Psycho Cut,Shadow Ball,Dazzling Gleam,psychic,ghost,fairy,64,163.7,90.1,92,39.6,1
rock,grass,Acid,Rock Tomb,Grass Knot,poison,rock,grass,346,106.3,139.0,143,89.7,electric,grass,Thunder Shock,Wild Charge,Swift,electric,electric,normal,101,123.3,130.1,113,84.3,1
fire,none,Karate Chop,Fire Punch,Brick Break,fighting,fire,fighting,240,139.5,95.8,120,72.9,bug,fire,Ember,Flame Charge,Bug Buzz,fire,fire,bug,636,131.7,99.2,130,66.7,1
normal,none,Mud Shot,Body Slam,Trailblaze,fighting,fire,fighting,820,107.5,110.7,175,80.6,dragon,fighting,Dragon Tail,Clanging Scales,Dragon Claw,dragon,dragon,dragon,784,123.7,138.4,105,83.0,1
normal,none,Lick,Body Slam,Power Whip,ground,normal,grass,108,98.3,126.9,183,86.8,dark,steel,Snarl,Dark Pulse,X-Scissor,dragon,dragon,dragon,625,139.2,111.5,103,68.8,0
fire,none,Ember,Flame Charge,Dig,dark,dark,bug,156,127.1,109.1,127,67.7,dark,fighting,Feint Attack,Upper Hand,Foul Play,ghost,normal,grass,559,120.4,122.1,126,70.4,1
dark,steel,Fury Cutter,Night Slash,X-Scissor,fire,fire,ground,624,132.0,107.8,118,80.5,dark,normal,Quick Attack,Crunch,Return,dark,fighting,dark,20,107.5,130.7,148,78.8,1
fairy,none,Vine Whip,Dazzling Gleam,Psychic,bug,dark,bug,669,103.4,113.4,119,53.0,fighting,none,Fury Cutter,Leaf Blade,Close Combat,normal,dark,normal,865,145.9,107.4,98,83.1,1
psychic,none,Counter,Psycho Boost,Thunderbolt,grass,fairy,psychic,386,101.0,221.5,98,75.5,ghost,dark,Sucker Punch,Rock Tomb,Shadow Ball,bug,grass,fighting,442,121.2,146.4,104,85.0,1
ice,none,Lock On,Blizzard,Thunder,dark,rock,ghost,378,103.7,180.2,115,78.7,water,ice,Ice Shard,Icy Wind,Drill Run,fighting,psychic,electric,87,102.9,133.8,158,83.8,0
grass,ice,Powder Snow,Icy Wind,Energy Ball,normal,ice,electric,460,117.9,111.4,143,80.7,bug,dark,Sucker Punch,X-Scissor,Trailblaze,ice,ice,ground,920,132.9,104.1,121,80.5,0
electric,none,Sucker Punch,Zap Cannon,Parabolic Charge,ice,ice,grass,939,115.1,107.7,156,88.7,rock,steel,Rock Throw,Stone Edge,Bulldoze,dark,bug,grass,805,119.4,169.8,92,68.3,0
grass,none,Vine Whip,Leaf Blade,Brick Break,rock,rock,ground,673,119.2,95.0,165,82.2,grass,poison,Acid,Leaf Blade,Sludge Bomb,dark,electric,electric,71,135.8,94.8,128,86.7,1
water,none,Water Gun,Ice Punch,Crunch,poison,grass,poison,159,118.8,118.8,134,70.8,psychic,none,Charge Beam,Psyshock,Dazzling Gleam,grass,grass,fighting,517,105.9,89.9,166,46.6,0
fire,ghost,Fire Spin,Bone Club,Shadow Bone,electric,psychic,fairy,105,110.8,145.0,126,87.3,fire,fighting,Fire Spin,Close Combat,Blast Burn,water,ice,dark,392,136.7,100.4,118,65.6,1
fire,steel,Fire Spin,Magma Storm,Stone Edge,fire,fire,rock,485,131.9,116.4,110,75.7,normal,none,Feint Attack,Night Slash,Power Gem,fire,dark,rock,53,118.9,115.9,136,61.3,1
fighting,poison,Shadow Claw,Close Combat,Aerial Ace,dark,dark,rock,903,146.0,95.3,110,78.5,dragon,ground,Mud Shot,Dig,Flamethrower,fire,fire,rock,444,128.8,101.0,133,64.1,0
grass,dragon,Dragon Breath,Fly,Seed Bomb,ghost,fighting,flying,841,138.8,100.8,115,66.1,psychic,none,Hidden Power (Psychic),Psyshock,Night Shade,ground,ground,fire,578,149.2,82.7,121,46.4,0
steel,fairy,Astonish,Foul Play,Play Rough,psychic,psychic,ghost,707,119.0,134.2,118,83.7,normal,psychic,Confusion,Psychic Fangs,Trailblaze,dragon,flying,grass,203,129.1,102.7,129,75.1,1
water,none,Fury Cutter,Hydro Cannon,Megahorn,ghost,dark,fairy,503,129.0,102.2,132,92.3,normal,none,Tackle,Body Slam,Trailblaze,dragon,flying,grass,916,118.1,102.8,156,73.2,1
grass,ground,Razor Leaf,Frenzy Plant,Stone Edge,dragon,flying,grass,389,120.5,117.6,131,66.8,grass,poison,Vine Whip,Power Whip,Sludge Bomb,ghost,dark,fairy,2,118.6,121.7,130,74.9,0
